Title,Summary
"Bowery Meat Company","The chef Josh Capon and the restaurateur John McDonald, the pair behind Lure Fishbar and El Toro Blanco, have brought forth a “meat company” whose website says it is “not a traditional steakhouse, but a balanced meat-centric menu.” Bowery Meat Company is not, in fact, a menu. But it does have a menu, and on it you will find seven cuts of beef plus a burger, potatoes cooked four ways, and a spinach side dish."
"Kafana","Kafana serves Serbian food to expatriates and East Village residents."
"Atera","In the open kitchen at this intimate tasting room, Matthew Lightner is matching foraged ingredients together with technical sleight of hand to summon up moments of genuine beauty."
"Angon on the Sixth","Angon is proof that interesting, authentic Indian cooking is not relegated to the outer reaches of New York City."
"Columbine","Friendly farmhouse-style takeout shop specializes in sandwiches that go beyond traditional combinations, while avoiding the excesses of many designer sandwiches."
"Buon Italia","This is not complicated food, but it is delicious."
"Rusty Mackerel","At this narrow, cheerful restaurant in the quiet northwestern corner of Washington Heights, the flavors are mainly Mediterranean, with the occasional high-concept dish, like a burger that’s a cross between a Dominican chimi and a British butty. The chef and owner, James Moran, grew up in the neighborhood. His first job was as a delivery boy for Frank’s Market, around the corner; the owners, who gave him his nickname, Mac, are now his business partners."
"Gargiulo's","This large Coney Island Italian restaurant is more than a century old."
"Tuome","You have probably eaten in dozens of rooms like Tuome in the past few years, and eaten dishes that look like the ones that the chef, Thomas Chen, is sending from the kitchen. Once the meal begins, though, it becomes clear that Mr. Chen has originality to spare and a clear, fresh point of view, particularly when he interprets Chinese cuisine."
"Ben & Jack's Steak House","It's unfortunate that the food at Ben & Jack's strives to mimic Peter Luger's, rather than to aim higher."
"Vinegar Hill House","Vinegar Hill House, in Brooklyn, is warm and welcoming."
"Legend Bar and Restaurant","At this spiffed-up Sichuan restaurant, the chef Ging Den Wang explores traditional dishes and his own variations, most of them expertly made and highly spiced."
"Güllüoglu","This trim Turkish bakery and cafe, an outpost of a company in Istanbul, has all the makings of a proper meal."
"Craftbar","A spinoff of Craft, Craftbar is a spare, welcoming room serving simple, comforting food."
"Insa","Officially a Korean barbecue restaurant, Insa sets itself apart through the modern chef’s sensibility displayed in the kitchen."
"Beco","Solid Brazilian cooking that doesn't try to do too much, tasty food to accompany a beer."
"Com Tam Ninh Kieu","The specialty at Com Tam Ninh Kieu in the Bronx, a Vietnamese restaurant,  is broken rice, grains splintered in the milling process, clingier and earthier than their grander, polished cousins. The rest of the menu consists almost entirely of noodle soups."
"La Boite en Bois","Cute and tiny, with forgettable but acceptable food."
"I Sodi","To eat at I Sodi is to abide by the laws of eating that Rita Sodi, the chef and an owner, brought with her from the farm north of Florence where she was raised."
"Café Rue Dix","Café Rue Dix is a restaurant firmly of the neighborhood but cosmopolitan in outlook, mixing plates of French moules frites and Senegalese thiebou djeun, spinning Edith Piaf between griot rap and mbalax."
"Picholine","This Lincoln Center area restaurant is never going to feel youthful and hip, but the chef and owner, Terrance Brennan, seized the occasion of a cosmetic overhaul to reinvigorate the restaurant's soul."
"Blanca","Carlo Mirarchi, the chef and owner of Blanca and its sprawling mothership, Roberta’s, is a rigorous miniaturist, combining a few ingredients at a time into two or three-bite compositions that are utterly complete, even if they leave you wanting more; over the years he has steadily refined his marathon tastings, and nearly everything served is remarkable in one way or another."
"Bar Primi","One of several reasons to like Bar Primi, Andrew Carmellini’s new two-story restaurant on the corner of Second Street and the Bowery, is that there is almost nothing on the menu but appetizers and pasta."
"The Wright","A striking homage to its namesake, the architect Frank Lloyd Wright, who designed the Guggenheim."
"Pio Pio Salon","A whole Peruvian-style roasted chicken is the trademark dish at the sixth of seven Pio Pios, and the largest in Manhattan."
"Haldi","Haldi’s menu is a delightful compendium of cultural references to the city of Kolkata in West Bengal, India, drawing on the culinary traditions of Bengalis, the British Raj, Marwari migrants from Rajasthan, Kolkata’s Chinatown (the birthplace of Indian Chinese cuisine) and the city’s small but once influential community of Baghdadi Jews."
"Taste Restaurant & Wine Bar","Taste, the restaurant and wine bar carved out of Eli's on the Upper East Side, lacks consistency."
"Porsena","Just what a small Italian restaurant in the Village should be: warm, modern, cozy and hip."
"Le Colonial","Beautiful people and refined Vietnamese food for the not terribly adventurous."
"DeFonte's of Brooklyn","After 87 years, this Red Hook, Brooklyn, institution for super-sized subs has opened a branch in Manhattan."
"Caviar Russe","Caviar Russe, with its blue and white walls and fanciful murals, seems to belong more in a fairy tale than in Midtown Manhattan."
"Smith & Wollensky Steak House","One of the few steakhouses that never lets you down: the service is swell, the steaks are always decent (if rarely great), and the portions are huge."
"Saraghina","This restaurant in pizzeria's clothing is pretty and unexpected addition to the neighborhood."
"Wallse","Kurt Gutenbrunner, the chef and owner of Wallsé, continues to be a great cook unfazed by his avant-garde contemporaries."
"Amber","This casual place offers Japanese, Chinese and Thai specialties."
"Lakruwana","Of the half-dozen or so Sri Lankan restaurants on Staten Island, Lakruwana is far and away the most spectacularly designed."
"Delaware and Hudson","Delaware and Hudson looks the part of the contemporary Brooklyn restaurant that preaches all things local and seasonal."
"Gigino","Comfortable, casual arty Italian in a trendy TriBeCa setting."
"Babu Ji","Babu Ji’s menu is succinct rather than sprawling, with Indian food that is remarkably fresh and light."
"Juventino","After a year of takeout with prepped ready-to-cook ingredients, this spot began offering table service for breakfast, lunch, brunch and dinner."
"Agata & Valentina","The long-awaited expansion is nearly complete, allowing for more prepared foods, produce and cheeses."
"Caridad China","As at other Chino Latino restaurants in New York City, no cross-pollination of seasonings is allowed, only congenial cohabitation on the table. The Chinese dishes are truer to the Chinese restaurants of 1980s America than to China, which means everything has a slightly caramel edge."
"Fowler & Wells","Tom Colicchio, the chef and owner, tries to bring some Gilded Age exuberance to this restaurant in a restored 1883 building. Many of the components, including the cocktails, wine list and desserts, are excellent. But in the menu and the décor, the central vision is fuzzy, and the restaurant is somehow less than the sum of its parts."
"Cafe D'Alsace","With more than 125 pilsners and lagers and bocks, along with a designated beer sommelier to explain them all, Cafe d'Alsace is New York's newest paradise for beer lovers."
"Izakaya","An izakaya is an informal Japanese establishment, neither quite restaurant nor tavern, that treats eating as fortification for drinking. But Dai Watanabe, the chef here, is not content to be an accompanist. The mission may be comfort food, but there’s a reverence to its making, even in the minor dishes."
"The Gander","Jesse Schenker, the Gander’s chef, had a breakout hit in 2010 with his debut restaurant, Recette. The Gander is more relaxed in ambition, aiming to be a neighborhood joint."
"Barbès","The food at Barbès is maddeningly uneven, but some of it has the straightforward, satisfying appeal of bistro fare."
"Sushi Katsuei","In Brooklyn, sushi bars have tended to hover at the level of the neighborhood joint — that is, until Sushi Katsuei opened on a corner of Park Slope."
"Thirty Acres","Thirty Acres is the kind of place that can redraw regional boundaries, making the Hudson River no more of a barrier to eaters in search of inventive cooking than the East River has become in the past few years."
